Company ID,Company Name,Logo,Telephone,Background_img,Category
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Running - Jogging
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Clothes
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Children Sports
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Team Sports
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Indoor Sports
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Assorted Sports Articles
3298,A Team Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Outdoors
2963,3Top Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Clothes
2963,3Top Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Children Sports
2963,3Top Sports,https://img.freepik.com/free-vector/bird-colorful-logo-gradient-vector_343694-1365.jpg,869848290.0,https://hoadecor.vn/wp-content/uploads/2021/08/cua-hang-hoa-17.jpg,Shoes
